Name of State/ UT	Parliamentary Constituency	Candidate Name	Total Votes Polled	Winner or Not?	Party Abbreviation	Party Name
Andhra Pradesh	Adilabad	GODAM NAGESH	430847	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Adilabad	NETHAWATH RAMDAS	41032	no	IND	Independent
Andhra Pradesh	Adilabad	RAMESH RATHOD	184198	no	TDP	Telugu Desam
Andhra Pradesh	Adilabad	RATHOD SADASHIV	94420	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Adilabad	MOSALI CHINNAIAH	8859	no	IND	Independent
Andhra Pradesh	Adilabad	NARESH	259557	no	INC	Indian National Congress
Andhra Pradesh	Adilabad	PAWAR KRISHNA	5055	no	IND	Independent
Andhra Pradesh	Adilabad	BANKA SAHADEV	4787	no	IND	Independent
Andhra Pradesh	Adilabad	None of the Above	17084	no	NOTA	None of the Above
Andhra Pradesh	Peddapalle	BALKA SUMAN	565496	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Peddapalle	None of the Above	5361	no	NOTA	None of the Above
Andhra Pradesh	Peddapalle	G. VIVEKANAND	274338	no	INC	Indian National Congress
Andhra Pradesh	Peddapalle	KALVALA SHANKAR	9290	no	PPOI	Pyramid Party of India
Andhra Pradesh	Peddapalle	MOUTAM RAVINDER	2674	no	IND	Independent
Andhra Pradesh	Peddapalle	VELTHURU MALLAIAH	45977	no	RP(K)	Republican Paksha (Khoripa)
Andhra Pradesh	Peddapalle	DR.JANAPATI SARAT BABU	63334	no	TDP	Telugu Desam
Andhra Pradesh	Peddapalle	KAMILLA JAYA RAO	2742	no	IND	Independent
Andhra Pradesh	Peddapalle	THALLAPALLI SRINIVAS	3699	no	IND	Independent
Andhra Pradesh	Peddapalle	VENKATA SWAMY INJAM	3866	no	MaSP	Mahajana Socialist Party
Andhra Pradesh	Peddapalle	GORRE RAMESH	2361	no	IND	Independent
Andhra Pradesh	Peddapalle	BUPELLI NARAYANA	7258	no	IND	Independent
Andhra Pradesh	Peddapalle	BOTHA VENKATA MALLAIAH	2245	no	BCUF	B. C. United Front
Andhra Pradesh	Peddapalle	JINNA RAMADEVI	9199	no	IND	Independent
Andhra Pradesh	Peddapalle	J.V. RAJU	3020	no	NIP	New India Party
Andhra Pradesh	Peddapalle	GADDALA VINAY KUMAR	3266	no	IND	Independent
Andhra Pradesh	Peddapalle	KALVALA SANJEEV	8609	no	RPI	Republican Party of India
Andhra Pradesh	Peddapalle	TAGARAM SHANKAR LAL	9449	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Karimnagar	VINOD KUMAR BOINAPALLY	505783	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Karimnagar	SRINIVAS REDDY LINGAMPALLY	3865	no	IND	Independent
Andhra Pradesh	Karimnagar	RANAVENI LAKSHMAN	2062	no	NIP	New India Party
Andhra Pradesh	Karimnagar	MALLESH YADAV BARLA	2760	no	IND	Independent
Andhra Pradesh	Karimnagar	REDDI MALLA SRINIVAS	8040	no	RPI(A)	Republican Party of India (A)
Andhra Pradesh	Karimnagar	BURLA. RAVI	4769	no	NCP	Nationalist Congress Party
Andhra Pradesh	Karimnagar	KANDEM PRABHAKAR	4731	no	IND	Independent
Andhra Pradesh	Karimnagar	B. LAXMAN	11333	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Karimnagar	SHAIK MAHMOOD	39325	no	WPOI	Welfare Party Of India
Andhra Pradesh	Karimnagar	PONNAM PRABHAKAR	300706	no	INC	Indian National Congress
Andhra Pradesh	Karimnagar	CHENNAMANENI VIDYA SAGAR RAO	214828	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Karimnagar	MEESALA RAJI REDDY	3080	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Karimnagar	MOHAMMED AMJAD MOHIUDDIN	6720	no	IND	Independent
Andhra Pradesh	Karimnagar	UPPULETI.LAXMAN	2448	no	IND	Independent
Andhra Pradesh	Karimnagar	L. PRABHAKAR REDDY	3944	no	PPOI	Pyramid Party of India
Andhra Pradesh	Karimnagar	PULIKOTA RAMESH	1777	no	IND	Independent
Andhra Pradesh	Karimnagar	DR.DHARMAIAH VENDAVETLA	3773	no	BMUP	Bahujan Mukti Party
Andhra Pradesh	Karimnagar	None of the Above	5747	no	NOTA	None of the Above
Andhra Pradesh	Nizamabad	KALVAKUNTLA KAVITHA	439307	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Nizamabad	BANJA VEERAPPA	3651	no	PPOI	Pyramid Party of India
Andhra Pradesh	Nizamabad	CHIRULINGADRULA VENKATESHAM	3091	no	IND	Independent
Andhra Pradesh	Nizamabad	KANDEM PRABHAKAR	3990	no	IND	Independent
Andhra Pradesh	Nizamabad	MALIK MOHTASIM KHAN	43814	no	WPOI	Welfare Party Of India
Andhra Pradesh	Nizamabad	S. CHANDRAIAH	2817	no	IND	Independent
Andhra Pradesh	Nizamabad	BAGWAN B	8129	no	IND	Independent
Andhra Pradesh	Nizamabad	ABDUL GANI	4791	no	BCUF	B. C. United Front
Andhra Pradesh	Nizamabad	ENDALA LAKSHMINARAYANA	225333	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Nizamabad	ABDUL KAREEM KHAN (BABU)	1601	no	IND	Independent
Andhra Pradesh	Nizamabad	TALARI RAMULU	7421	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Nizamabad	SAGAR SUDDALA	1978	no	BMUP	Bahujan Mukti Party
Andhra Pradesh	Nizamabad	MADHU YASKHI GOUD	272123	no	INC	Indian National Congress
Andhra Pradesh	Nizamabad	RAPELLY SRINIVAS	2621	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Nizamabad	KOTAPATI NARSIMHAM NAIDU	2462	no	IND	Independent
Andhra Pradesh	Nizamabad	None of the Above	7266	no	NOTA	None of the Above
Andhra Pradesh	Nizamabad	SINGAREDDY RAVINDRA REDDY	3529	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Zahirabad	B.B. PATIL	508661	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Zahirabad	MARRI DURGESH	18027	no	RPI(A)	Republican Party of India (A)
Andhra Pradesh	Zahirabad	SURESH KUMAR SHETKAR	364030	no	INC	Indian National Congress
Andhra Pradesh	Zahirabad	TANDALE AMBAJI RAO	2323	no	IND	Independent
Andhra Pradesh	Zahirabad	SYED FEROZUDDIN	8180	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Zahirabad	DR. SUNEEL KUMAR CHOWDHARY	3285	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Zahirabad	RAMA RAO	4426	no	IND	Independent
Andhra Pradesh	Zahirabad	K.MADAN MOHAN RAO	157497	no	TDP	Telugu Desam
Andhra Pradesh	Zahirabad	BENJAMIN RAJU	4804	no	IND	Independent
Andhra Pradesh	Zahirabad	MAHMOOD MOHIUDDIN	12383	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Zahirabad	None of the Above	11190	no	NOTA	None of the Above
Andhra Pradesh	Medak	KALVAKUNTLA CHANDRASEKHAR RAO	657492	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Medak	IQBAL ALI ZAFAR	5010	no	MBT	Majlis Bachao Tahreek
Andhra Pradesh	Medak	None of the Above	10781	no	NOTA	None of the Above
Andhra Pradesh	Medak	BOMMA BALESHAM	3297	no	PPOI	Pyramid Party of India
Andhra Pradesh	Medak	DR.P. SHRAVAN KUMAR REDDY	260463	no	INC	Indian National Congress
Andhra Pradesh	Medak	MEKA. SUBBA RAO	4441	no	IND	Independent
Andhra Pradesh	Medak	BALARAJU MITTAPALLY	2973	no	IND	Independent
Andhra Pradesh	Medak	GURJADA BHEERAIAH YADAV	2053	no	IND	Independent
Andhra Pradesh	Medak	PRABHUGOUD, PULLAIAHGARI	11752	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Medak	KOMPELLI PRABHUDAS	7599	no	RPI(A)	Republican Party of India (A)
Andhra Pradesh	Medak	CHAGANLA NARENDRA NATH	181804	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Medak	GAJABINKAR BANSILAL	3281	no	IND	Independent
Andhra Pradesh	Medak	Y. SHANKAR GOUD	6643	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Medak	KUNDETI. RAVI.	33507	no	IND	Independent
Andhra Pradesh	Malkajgiri	CH.MALLA REDDY	523336	yes	TDP	Telugu Desam
Andhra Pradesh	Malkajgiri	V.DINESH REDDY	115170	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Malkajgiri	SATHYANARAYANA YAADAV PEDDIBOYINA	597	no	BCBDP	B.C.Bharata Desam Party
Andhra Pradesh	Malkajgiri	B.VEERA HANUMANTHA REDDY	775	no	IND	Independent
Andhra Pradesh	Malkajgiri	HANUMANTH RAO MYNAMPALLY	494965	no	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Malkajgiri	SARVEY SATHYANARAYANA	233711	no	INC	Indian National Congress
Andhra Pradesh	Malkajgiri	POLISETTY KRISHNA RAO	496	no	IND	Independent
Andhra Pradesh	Malkajgiri	MURARI.T.N	1390	no	SHS	Shivsena
Andhra Pradesh	Malkajgiri	M.NAGESWARA RAO	1301	no	IND	Independent
Andhra Pradesh	Malkajgiri	BANDI SUDHAKAR	4094	no	JaSPa	Jai Samaikyandhra Party
Andhra Pradesh	Malkajgiri	DR.N.V.SUDHA KIRAN	8291	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Malkajgiri	JAJULA BHASKAR	8003	no	SHP	Shramajeevi Party
Andhra Pradesh	Malkajgiri	KANTE SAYANNA	2262	no	IND	Independent
Andhra Pradesh	Malkajgiri	PADURI SRINIVAS REDDY	803	no	TLP	Telangana Loksatta Party
Andhra Pradesh	Malkajgiri	PEESARI SATISH REDDY	1325	no	IND	Independent
Andhra Pradesh	Malkajgiri	RAHUL PANDIT	899	no	IND	Independent
Andhra Pradesh	Malkajgiri	ANJANEYULU.E	2677	no	IND	Independent
Andhra Pradesh	Malkajgiri	DR.JAYAPRAKASH  NARAYAN .N	158243	no	LSP	Lok Satta Party
Andhra Pradesh	Malkajgiri	POTTURI TULASI DAS	411	no	IND	Independent
Andhra Pradesh	Malkajgiri	KARUNAKAR.R	6133	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Malkajgiri	VATTIKUTI RAMARAO GOUD	1032	no	IND	Independent
Andhra Pradesh	Malkajgiri	D.BIKSHAPATHI	5717	no	IND	Independent
Andhra Pradesh	Malkajgiri	SUTHARAPU PADMAIAH	538	no	APRSSP	Andhra Pradesh Rashtra Samaikya Samithi Party
Andhra Pradesh	Malkajgiri	M.T.VARUGHESE	1026	no	IND	Independent
Andhra Pradesh	Malkajgiri	GAJABINKAR BANSILAL	1416	no	IND	Independent
Andhra Pradesh	Malkajgiri	None of the Above	8716	no	NOTA	None of the Above
Andhra Pradesh	Malkajgiri	SURAKANTI VENKAT REDDY	2049	no	PPOI	Pyramid Party of India
Andhra Pradesh	Malkajgiri	DASARI BHARATH REDDY	1696	no	IND	Independent
Andhra Pradesh	Malkajgiri	DIVAKAR DHARANIKOTA SUDHAKAR	18543	no	AIMIM	All India Majlis-E-Ittehadul Muslimeen
Andhra Pradesh	Malkajgiri	PROF. K.NAGESHWAR	13236	no	IND	Independent
Andhra Pradesh	Malkajgiri	KOYALKAR BHOJ RAJ	1546	no	IND	Independent
Andhra Pradesh	Secundrabad	BANDARU DATTATREYA	438271	yes	BJP	Bharatiya Janata Party
Andhra Pradesh	Secundrabad	SYED MADANI QUADRI	376	no	IND	Independent
Andhra Pradesh	Secundrabad	DR.N.S.UDAY KUMAR	928	no	pjdl	Prem Janata Dal
Andhra Pradesh	Secundrabad	KHAJA KHALID ANWAR	2863	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Secundrabad	K. SRINIVASULU	3691	no	JaSPa	Jai Samaikyandhra Party
Andhra Pradesh	Secundrabad	AVULA RANGANAYAKULU	1144	no	IND	Independent
Andhra Pradesh	Secundrabad	SONU SARSAL VALMIKI	2311	no	TECPI	Telangana Communist Party of India
Andhra Pradesh	Secundrabad	S. LAKSHMAN RAO	886	no	IND	Independent
Andhra Pradesh	Secundrabad	SYED SAJID ALI	45187	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Secundrabad	MOHAMMED RIZWAN HUSSAIN	370	no	IND	Independent
Andhra Pradesh	Secundrabad	K.SAI KRISHNA MOHAN RAO	2603	no	ICSP	Indian Christian Secular Party
Andhra Pradesh	Secundrabad	NARLA MOHAN RAO	145120	no	AIMIM	All India Majlis-E-Ittehadul Muslimeen
Andhra Pradesh	Secundrabad	DR.MALATHI LATHA EPPA	873	no	JAP	Jantantra Party
Andhra Pradesh	Secundrabad	None of the Above	6572	no	NOTA	None of the Above
Andhra Pradesh	Secundrabad	CH. MURAHARI	554	no	SUCI	SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
Andhra Pradesh	Secundrabad	SHAKTHI SATYAVATHI	638	no	PPOI	Pyramid Party of India
Andhra Pradesh	Secundrabad	KARANKOTE NARENDER	474	no	AIFB	All India Forward Bloc
Andhra Pradesh	Secundrabad	B.DEEPAK KUMAR	1813	no	RPI(KH)	Republican Party of India (Khobragade)
Andhra Pradesh	Secundrabad	MOHD ABUBAKAR PARWAIZ SIDDIQUI	322	no	IND	Independent
Andhra Pradesh	Secundrabad	ABDUS SATTAR MUJAHED	809	no	ABML(S)	Akhil Bharatiya Muslim League (Secular)
Andhra Pradesh	Secundrabad	MICHAEL DANIEL OVELZ	291	no	IND	Independent
Andhra Pradesh	Secundrabad	KUMAR CHOWDARY YADAV.G	547	no	sps	Samaikyandhra Parirakshana Samithi
Andhra Pradesh	Secundrabad	ANANTH RAO GUNDEPALLY	779	no	IND	Independent
Andhra Pradesh	Secundrabad	CHAYA RATAN MUSINIPALLY	11184	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Secundrabad	J.RAMULU	2058	no	RSP	Revolutionary Socialist Party
Andhra Pradesh	Secundrabad	RAGHU DESHABOINA	1496	no	BMUP	Bahujan Mukti Party
Andhra Pradesh	Secundrabad	T.BHEEMSEN	143847	no	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Secundrabad	M.ANJAN KUMAR YADAV	183536	no	INC	Indian National Congress
Andhra Pradesh	Secundrabad	KLHAJA SIRAJUDDIN AZAZ	959	no	mmsp	Majlis Markaz-e-Siyasee Party
Andhra Pradesh	Secundrabad	B.SUBRAMANYAM	2481	no	IND	Independent
Andhra Pradesh	Secundrabad	MOHD IMTIAZ HUSSAIN	786	no	IUML	Indian Union Muslim League
Andhra Pradesh	Hyderabad	ASADUDDIN OWAISI	513868	yes	AIMIM	All India Majlis-E-Ittehadul Muslimeen
Andhra Pradesh	Hyderabad	None of the Above	5013	no	NOTA	None of the Above
Andhra Pradesh	Hyderabad	LUBNA SARWATH	6118	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Hyderabad	N.MAHENDER SINGH	485	no	NBNP	Nava Bharat National Party
Andhra Pradesh	Hyderabad	M A HABEEB	5992	no	IND	Independent
Andhra Pradesh	Hyderabad	BODDU SAINATH REDDY	10743	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Hyderabad	S KRISHNA REDDY	49310	no	INC	Indian National Congress
Andhra Pradesh	Hyderabad	SYED MUSTAFA MAHMOOD	2102	no	MBT	Majlis Bachao Tahreek
Andhra Pradesh	Hyderabad	VENU GOPAL.P	3100	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Hyderabad	RASHID SHAREEF	37195	no	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Hyderabad	S.KHAJA MOINUDDIN	1593	no	AIACP	All India Azaad Congress Party
Andhra Pradesh	Hyderabad	SHAIK MOIN	626	no	IND	Independent
Andhra Pradesh	Hyderabad	DR.BHAGAVANTH RAO	311414	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Hyderabad	MD OSMAN	728	no	IND	Independent
Andhra Pradesh	Hyderabad	JAYA VINDHYALA	598	no	SP(I)	Socialist Party (India)
Andhra Pradesh	Hyderabad	SYED ABDUL GAFFER	740	no	IND	Independent
Andhra Pradesh	Hyderabad	BINGHI RAJASHEKAR	21796	no	PPOI	Pyramid Party of India
Andhra Pradesh	CHELVELLA	KONDA VISHWESHWAR REDDY	435077	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	CHELVELLA	CHAN PASHA	56835	no	ABML(S)	Akhil Bharatiya Muslim League (Secular)
Andhra Pradesh	CHELVELLA	G.MALLESHAM GOUD	24660	no	IND	Independent
Andhra Pradesh	CHELVELLA	KUMMARI GIRI	5789	no	PPOI	Pyramid Party of India
Andhra Pradesh	CHELVELLA	REGATTE VENKAT REDDY	7462	no	AAAP	Aam Aadmi Party
Andhra Pradesh	CHELVELLA	SYED HASHMATHULLAH QUADRI	1411	no	IUML	Indian Union Muslim League
Andhra Pradesh	CHELVELLA	MD YUNUS MIYA	2904	no	MCPI	Marxist Communist Party of India (United)
Andhra Pradesh	CHELVELLA	SANIKE RAM GOPAL YADAV	2058	no	IND	Independent
Andhra Pradesh	CHELVELLA	SUTHARAPU PADMAIAH	2214	no	APRSSP	Andhra Pradesh Rashtra Samaikya Samithi Party
Andhra Pradesh	CHELVELLA	DR.GOLLA RAMAIAH	1765	no	TLP	Telangana Loksatta Party
Andhra Pradesh	CHELVELLA	TULLA VEERENDER	353203	no	TDP	Telugu Desam
Andhra Pradesh	CHELVELLA	PATLOLLA KARTIK REDDY	362054	no	INC	Indian National Congress
Andhra Pradesh	CHELVELLA	SAMALA RAVINDAR	7732	no	BSP	Bahujan Samaj Party
Andhra Pradesh	CHELVELLA	KONDA RAGHAVA REDDY	40135	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	CHELVELLA	DR. P. SADHU SATYANADHAN	2545	no	ICSP	Indian Christian Secular Party
Andhra Pradesh	CHELVELLA	None of the Above	10018	no	NOTA	None of the Above
Andhra Pradesh	Mahbubnagar	AP JITHENDER REDDY	334228	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Mahbubnagar	None of the Above	9037	no	NOTA	None of the Above
Andhra Pradesh	Mahbubnagar	S. SHIVA SHANKAR	3252	no	IND	Independent
Andhra Pradesh	Mahbubnagar	DR. CHANDRA SEKHAR. A	4033	no	IND	Independent
Andhra Pradesh	Mahbubnagar	KADIRE KRISHNA	15779	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Mahbubnagar	DR. JANARDHAN REDDY NAGAM	272791	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Mahbubnagar	H.A. RAHMAN	9105	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Mahbubnagar	IBRAHIM SYED	4549	no	IND	Independent
Andhra Pradesh	Mahbubnagar	JAIPAL REDDY SUDINI	331638	no	INC	Indian National Congress
Andhra Pradesh	Mahbubnagar	S.R.PREMAIAH	30388	no	PPOI	Pyramid Party of India
Andhra Pradesh	Nagarkurnool	YELLAIAH NANDI	420075	yes	INC	Indian National Congress
Andhra Pradesh	Nagarkurnool	BAHADHUR SRINIVAS	12089	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Nagarkurnool	BUDDULA SRINIVAS	54680	no	IND	Independent
Andhra Pradesh	Nagarkurnool	BAKKANI NARSIMLU	183352	no	TDP	Telugu Desam
Andhra Pradesh	Nagarkurnool	MAREDU GOPAL	22985	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Nagarkurnool	DR. MANDA JAGANNATH	403399	no	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Nagarkurnool	None of the Above	12388	no	NOTA	None of the Above
Andhra Pradesh	Nalgonda	GUTHA SUKHENDER REDDY	472093	yes	INC	Indian National Congress
Andhra Pradesh	Nalgonda	MANUPURI DAYA SAGAR	4495	no	PPOI	Pyramid Party of India
Andhra Pradesh	Nalgonda	MARRI NEHEMIAH	56259	no	IND	Independent
Andhra Pradesh	Nalgonda	NANDYALA NARSIMHA REDDY	54423	no	CPM	Communist Party of India  (Marxist)
Andhra Pradesh	Nalgonda	DR. PALLA RAJESHWAR REDDY	260677	no	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Nalgonda	KUNDARAPU RAMESH	11517	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Nalgonda	GUNNAM NAGI REDDY	39385	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Nalgonda	TERA CHINNAPA REDDY	278937	no	TDP	Telugu Desam
Andhra Pradesh	Nalgonda	TEJAVATH BELLAIAH NAIK	2308	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Nalgonda	None of the Above	9305	no	NOTA	None of the Above
Andhra Pradesh	Bhongir	DR. BOORA NARSAIAH GOUD	448245	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Bhongir	None of the Above	10921	no	NOTA	None of the Above
Andhra Pradesh	Bhongir	CHERUPALLY SEETHARAMULU	54040	no	CPM	Communist Party of India  (Marxist)
Andhra Pradesh	Bhongir	NAVULLA MALLA REDDY	26805	no	IND	Independent
Andhra Pradesh	Bhongir	VARIKUPPALA KRISHNA VADDERA	35011	no	IND	Independent
Andhra Pradesh	Bhongir	GUDURU JANARDHAN REDDY	2341	no	JaSPa	Jai Samaikyandhra Party
Andhra Pradesh	Bhongir	INDRASENA REDDY NALLU	183217	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Bhongir	GUAHATI MOTHILAL	2600	no	AIMIM	All India Majlis-E-Ittehadul Muslimeen
Andhra Pradesh	Bhongir	RAVULAPALLY KONDAL RAO	7722	no	IND	Independent
Andhra Pradesh	Bhongir	NAGULA SRINIVAS YADAV	1859	no	MaSP	Mahajana Socialist Party
Andhra Pradesh	Bhongir	BOILLA NARENDER	6850	no	RPI	Republican Party of India
Andhra Pradesh	Bhongir	KAPILAVAI DILEEP KUMAR	5552	no	RLD	Rashtriya Lok Dal
Andhra Pradesh	Bhongir	ARVAPALLY AMBATI	9029	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Bhongir	KOMATIREDDY RAJGOPAL REDDY	417751	no	INC	Indian National Congress
Andhra Pradesh	Warangal	KADIYAM SRIHARI	661639	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Warangal	RAJAIAH SIRICILLA	269065	no	INC	Indian National Congress
Andhra Pradesh	Warangal	VENU ESAMPELLY	1541	no	AIFB	All India Forward Bloc
Andhra Pradesh	Warangal	VENKANNA NEERUDU	2098	no	BMUP	Bahujan Mukti Party
Andhra Pradesh	Warangal	JANNU MAHENDAR	3211	no	IND	Independent
Andhra Pradesh	Warangal	KANAKAM RAMESH	2013	no	IND	Independent
Andhra Pradesh	Warangal	VENKANNA KANNAM	2258	no	MCPI	Marxist Communist Party of India (United)
Andhra Pradesh	Warangal	PARAMESHWAR RAMAGALLA	187139	no	BJP	Bharatiya Janata Party
Andhra Pradesh	Warangal	CHILUVERU PRATHAP	9178	no	IND	Independent
Andhra Pradesh	Warangal	GANNARAPU SURENDER	9536	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Warangal	THUPPARI NARASIMHA SWAMY	7350	no	PPOI	Pyramid Party of India
Andhra Pradesh	Warangal	CHINTHA SWAMY	5569	no	AAAP	Aam Aadmi Party
Andhra Pradesh	Warangal	None of the Above	14034	no	NOTA	None of the Above
Andhra Pradesh	Mahabubabad	PROF. AZMEERA SEETARAM NAIK	320569	yes	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Mahabubabad	None of the Above	6705	no	NOTA	None of the Above
Andhra Pradesh	Mahabubabad	PADIGA YARRAIAH	3492	no	IND	Independent
Andhra Pradesh	Mahabubabad	LAXMAN BUKYA	14026	no	IND	Independent
Andhra Pradesh	Mahabubabad	LAXMINARAYANA BORRA	5888	no	IND	Independent
Andhra Pradesh	Mahabubabad	KAVITHA RANI LUNAVATH	6627	no	PPOI	Pyramid Party of India
Andhra Pradesh	Mahabubabad	PONAKA SAMMAKKA	3475	no	IND	Independent
Andhra Pradesh	Mahabubabad	BODA RAASI	6224	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Mahabubabad	PAYAM CHANDHAR RAO (CHINNA CHANDHRANNA)	94014	no	IND	Independent
Andhra Pradesh	Mahabubabad	TELLAM VENKATA RAO	128465	no	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Mahabubabad	BANOTH MOHANLAL	215904	no	TDP	Telugu Desam
Andhra Pradesh	Mahabubabad	BALUNAYAK BHUKYA	3094	no	IND	Independent
Andhra Pradesh	Mahabubabad	DATLA NAGESHWAR RAO	6854	no	IND	Independent
Andhra Pradesh	Mahabubabad	METLA PAPAIAH	3922	no	IND	Independent
Andhra Pradesh	Mahabubabad	GUGULOTU JAGAN	3671	no	MCPI	Marxist Communist Party of India (United)
Andhra Pradesh	Mahabubabad	EESAM SUDHAKAR	2199	no	IND	Independent
Andhra Pradesh	Mahabubabad	V. GOURI NAGAMANI	13664	no	IND	Independent
Andhra Pradesh	Mahabubabad	P. BALRAM	285577	no	INC	Indian National Congress
Andhra Pradesh	Khammam	PONGULETI  SRINIVASA REDDY	421957	yes	YSRCP	Yuvajana Sramika Rythu Congress Party
Andhra Pradesh	Khammam	LINGALA RAVI KUMAR	9454	no	IND	Independent
Andhra Pradesh	Khammam	NAGIREDDY RAJI REDDY	4480	no	IND	Independent
Andhra Pradesh	Khammam	BANOTH LAXMA NAIK	1338	no	IND	Independent
Andhra Pradesh	Khammam	BUSIREDDY SHANKAR REDDY	963	no	IND	Independent
Andhra Pradesh	Khammam	MEDARAMETLA  RAMA RAO	4135	no	PPOI	Pyramid Party of India
Andhra Pradesh	Khammam	BANOTH KISHAN NAYAK	1611	no	IND	Independent
Andhra Pradesh	Khammam	RAMESH KOMMU	1267	no	IND	Independent
Andhra Pradesh	Khammam	KAKI BHASKAR	5354	no	IND	Independent
Andhra Pradesh	Khammam	NAMA NAGESWARA RAO	409983	no	TDP	Telugu Desam
Andhra Pradesh	Khammam	KANKANALA NARAYANA	187653	no	CPI	Communist Party of India
Andhra Pradesh	Khammam	SANAPA POMMAIAH	886	no	IND	Independent
Andhra Pradesh	Khammam	BUDAN BAIG SHAIK	89063	no	TRS	Telangana Rashtra Samithi
Andhra Pradesh	Khammam	GUGULOTHU SARVAN	1488	no	IND	Independent
Andhra Pradesh	Khammam	GUGULOTHU RANJITH KUMAR	1432	no	IND	Independent
Andhra Pradesh	Khammam	MUDIGE NAGESWARA RAO	1194	no	IND	Independent
Andhra Pradesh	Khammam	MARIKANTI VASUDASU	877	no	IND	Independent
Andhra Pradesh	Khammam	MOKALLA RAMESH	5386	no	IND	Independent
Andhra Pradesh	Khammam	KALTHI VENKATESWARLU	1059	no	IND	Independent
Andhra Pradesh	Khammam	JERRIPOTHULA SRINIVAS	1116	no	IND	Independent
Andhra Pradesh	Khammam	NAGARJUNA CHERUKURU	4999	no	JaSPa	Jai Samaikyandhra Party
Andhra Pradesh	Khammam	KALTHI RAMULAMMA	980	no	IND	Independent
Andhra Pradesh	Khammam	BACHALA LAXMAIAH	6494	no	IND	Independent
Andhra Pradesh	Khammam	GOKINEPALLI VENKATESWARA RAO	8053	no	IND	Independent
Andhra Pradesh	Khammam	DODDA RAM BABU	4757	no	BSP	Bahujan Samaj Party
Andhra Pradesh	Khammam	KANAKAM TIRUMALA RAO	916	no	IND	Independent
Andhra Pradesh	Khammam	RAMU KANDULA	1019	no	IND	Independent
Andhra Pradesh	Khammam	None of the Above	4983	no	NOTA	None of the Above
Andhra Pradesh	Aruku	KOTHAPALLI GEETHA	413191	yes	YSRCP	Yuvajana Sramika Rythu Congress Party
