State,PC Name,Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
Uttar Pradesh,6 - Moradabad,961962,627713,810084,500252,1772046,1127965
Uttar Pradesh,7 - Rampur,872084,526970,744900,429419,1616984,956389
Uttar Pradesh,8 - Sambhal,931603,600271,761642,456731,1693245,1057002
Uttar Pradesh,9 - Amroha,829446,589901,714796,505959,1544242,1095860
Uttar Pradesh,10 - Meerut,971956,632847,792432,480537,1764388,1113384
Uttar Pradesh,11 - Baghpat,850681,582774,654494,421489,1505175,1004263
Uttar Pradesh,12 - Ghaziabad,1333051,782170,1024495,560150,2357546,1342320
Uttar Pradesh,13 - Gautam Buddha Nagar,1105855,690761,880262,508477,1986117,1199238
Uttar Pradesh,14 - Bulandshahr,930831,549484,805616,460226,1736447,1009710
Uttar Pradesh,15 - Aligarh,965995,596785,827131,467572,1793126,1064357
Uttar Pradesh,16 - Hathras,969908,596931,789019,452342,1758927,1049273
Uttar Pradesh,17 - Mathura,931615,619091,750645,457777,1682260,1076868
Uttar Pradesh,18 - Agra,1003777,622009,810962,448391,1814739,1070400
Uttar Pradesh,19 - Fatehpur Sikri,877271,565971,703311,401997,1580582,967968
Uttar Pradesh,20 - Firozabad,902514,643433,734224,461173,1636738,1104606
Uttar Pradesh,21 - Mainpuri,900568,580173,752497,419092,1653065,999265
Uttar Pradesh,22 - Etah,856974,520292,720483,405989,1577457,926281
Uttar Pradesh,23 - Badaun,978040,595491,791105,432103,1769145,1027594
Uttar Pradesh,24 - Aonla,917060,572792,736517,422849,1653577,995641
Uttar Pradesh,25 - Bareilly,911410,575414,752671,442477,1664081,1017891
Uttar Pradesh,26 - Pilibhit,903420,586205,767731,464342,1671151,1050547
Uttar Pradesh,27 - Shahjahanpur,1100020,664459,879274,465382,1979294,1129841
Uttar Pradesh,28 - Kheri,904863,606301,774603,471567,1679466,1077868
Uttar Pradesh,29 - Dhaurahra,846798,605309,711241,454962,1558039,1060271
Uttar Pradesh,30 - Sitapur,837981,582088,712282,444884,1550263,1026972
Uttar Pradesh,31 - Hardoi,939831,565543,774556,407351,1714387,972894
Uttar Pradesh,32 - Misrikh,948290,590503,777295,407811,1725585,998314
Uttar Pradesh,33 - Unnao,1194396,674580,969996,527023,2164392,1201603
Uttar Pradesh,34 - Mohanlalganj,995313,638688,842881,477900,1838194,1116588
Uttar Pradesh,35 - Lucknow,1052171,582227,897785,451556,1949956,1033783
Uttar Pradesh,36 - Rae Bareli,857875,437735,737079,387401,1594954,825136
Uttar Pradesh,37 - Amethi,890595,461365,779248,413260,1669843,874625
Uttar Pradesh,38 - Sultanpur,910349,499378,793349,465603,1703698,964981
Uttar Pradesh,39 - Pratapgarh,923668,457693,792957,436763,1716625,894456
Uttar Pradesh,40 - Farrukhabad,891934,560566,721847,410111,1613781,970677
Uttar Pradesh,41 - Etawah,938271,530688,768966,408916,1707237,939604
Uttar Pradesh,42 - Kannauj,1000007,629781,808882,484679,1808889,1114460
Uttar Pradesh,43 - Kanpur,889345,485765,721903,349314,1611248,835079
Uttar Pradesh,44 - Akbarpur,977662,559901,790961,411474,1768623,971375
Uttar Pradesh,45 - Jalaun,1045684,579206,857648,529960,1903332,1109166
Uttar Pradesh,46 - Jhansi,1034085,734103,897930,586701,1932015,1320804
Uttar Pradesh,47 - Hamirpur,949328,548768,788665,426472,1737993,975240
Uttar Pradesh,48 - Banda,884813,474053,717104,384273,1601917,858326
Uttar Pradesh,49 - Fatehpur,985922,575050,818855,481638,1804777,1056688
Uttar Pradesh,50 - Kaushambi,955324,491057,783670,418981,1738994,910038
Uttar Pradesh,51 - Phulpur,1063897,541728,849377,418613,1913274,960341
Uttar Pradesh,52 - Allahabad,917403,507043,749166,384539,1666569,891582
Uttar Pradesh,53 - Barabanki,925946,611206,795336,456962,1721282,1068168
Uttar Pradesh,54 - Faizabad,936036,558096,802665,464620,1738701,1022716
Uttar Pradesh,55 - Ambedkar Nagar,923553,541200,795221,493204,1718774,1034404
Uttar Pradesh,56 - Bahraich,882776,522627,755869,411636,1638645,934263
Uttar Pradesh,57 - Kaiserganj,928269,527337,783698,416020,1711967,943357
Uttar Pradesh,58 - Shrawasti,976415,559177,811665,420461,1788080,979638
Uttar Pradesh,59 - Gonda,935168,488241,775659,385491,1710827,873732
Uttar Pradesh,60 - Domariyaganj,961957,490141,799458,444886,1761415,935027
Uttar Pradesh,61 - Basti,1022508,549746,825105,498788,1847613,1048534
Uttar Pradesh,62 - Sant Kabir Nagar,1045430,520999,858897,490650,1904327,1011649
Uttar Pradesh,63 - Maharajganj,946234,547576,796897,508502,1743131,1056078
Uttar Pradesh,64 - Gorakhpur,1055476,569717,849022,470482,1904498,1040199
Uttar Pradesh,65 - Kushi Nagar,930637,505827,750355,444618,1680992,950445
Uttar Pradesh,66 - Deoria,997314,508610,809612,462947,1806926,971557
Uttar Pradesh,67 - Bansgaon,979644,459744,780466,418133,1760110,877877
Uttar Pradesh,68 - Lalganj,906751,456696,754732,441959,1661483,898655
Uttar Pradesh,69 - Azamgarh,941548,504787,761674,455431,1703222,960218
Uttar Pradesh,70 - Ghosi,1040034,547483,851079,492173,1891113,1039656
Uttar Pradesh,71 - Salempur,904632,450367,757105,404382,1661737,854749
Uttar Pradesh,72 - Ballia,973384,573053,794887,369158,1768271,942211
Uttar Pradesh,73 - Jaunpur,1002938,527542,845904,479601,1848842,1007143
Uttar Pradesh,74 - Machhlishahr,1026789,513121,865180,484781,1891969,997902
Uttar Pradesh,75 - Ghazipur,983352,529153,818167,457520,1801519,986673
Uttar Pradesh,76 - Chandauli,927629,546179,741511,434393,1669140,980572
Uttar Pradesh,77 - Varanasi,986224,594293,781262,436392,1767486,1030685
Uttar Pradesh,78 - Bhadohi,1016000,527290,818598,454262,1834598,981552
Uttar Pradesh,79 - Mirzapur,938504,557621,782157,450006,1720661,1007627
Uttar Pradesh,80 - Robertsganj,901163,497152,738398,388721,1639561,885873
Uttarakhand,1 - Tehri Garhwal,712039,403088,640806,373126,1352845,776214
Uttarakhand,2 - Garhwal,652891,323143,616192,358881,1269083,682024
Uttarakhand,3 - Almora,640059,312965,614269,343560,1254328,656525
Uttarakhand,4 - Nainital-udhamsingh Nagar,857781,590700,753029,510735,1610810,1101435
Uttarakhand,5 - Hardwar,888328,638871,754545,536821,1642873,1175692
West Bengal,1 - Cooch behar,848649,688855,764768,643554,1613417,1332409
West Bengal,2 - Alipurduars,755765,619981,715146,603585,1470911,1223566
West Bengal,3 - Jalpaiguri,795704,676450,735765,625667,1531469,1302117
West Bengal,4 - Darjeeling,737184,587678,699942,554331,1437126,1142009
West Bengal,5 - Raiganj,724014,564181,663512,544012,1387526,1108193
West Bengal,6 - Balurghat,653848,549173,600649,513880,1254497,1063053
West Bengal,7 - Maldaha Uttar,740749,579515,684679,583470,1425428,1162985
West Bengal,8 - Maldaha Dakshin,692386,546640,654757,545767,1347143,1092407
West Bengal,9 - Jangipur,714890,559542,676766,559542,1391656,1119084
West Bengal,10 - Baharampur,752943,579487,700840,575100,1453783,1154587
West Bengal,11 - Murshidabad,782286,652896,729812,634867,1512098,1287763
West Bengal,12 - Krishnanagar,769981,639431,706802,608483,1476783,1247914
West Bengal,13 - Ranaghat,831318,693242,771531,659954,1602849,1353196
West Bengal,14 - Bangaon,796650,661484,744063,622204,1540713,1283688
West Bengal,15 - Barrackpore,682366,567820,604856,483310,1287222,1051130
West Bengal,16 - Dum dum,715569,591353,690412,541291,1405981,1132644
West Bengal,17 - Barasat,774305,665637,738487,603694,1512792,1269331
West Bengal,18 - Basirhat,777768,677519,712828,596252,1490596,1273771
West Bengal,19 - Joynagar,757902,631335,700822,554717,1458724,1186052
West Bengal,20 - Mathurapur,772279,659848,716505,605683,1488784,1265531
West Bengal,21 - Diamond harbour,816259,683496,739655,577800,1555914,1261296
West Bengal,22 - Jadavpur,811441,666972,784305,605390,1595746,1272362
West Bengal,23 - Kolkata Dakshin,890251,627205,795045,540774,1685296,1167979
West Bengal,24 - Kolkata Uttar,797437,535236,636548,420542,1433985,955778
West Bengal,25 - Howrah,802653,621783,702446,503616,1505099,1125399
West Bengal,26 - Uluberia,761951,628832,686681,557195,1448632,1186027
West Bengal,27 - Srerampur,847931,681607,776107,608826,1624038,1290433
West Bengal,28 - Hooghly,836584,697366,793458,651504,1630042,1348870
West Bengal,29 - Arambagh,833629,707525,766664,654409,1600293,1361934
West Bengal,30 - Tamluk,796779,685563,730494,652121,1527273,1337684
West Bengal,31 - Kanthi,777345,664251,713064,626560,1490409,1290811
West Bengal,32 - Ghatal,835803,691145,774686,675564,1610489,1366709
West Bengal,33 - Jhargram,753840,646539,721272,611074,1475112,1257613
West Bengal,34 - Medinipur,770363,647026,729310,613006,1499673,1260032
West Bengal,35 - Purulia,764758,627033,707175,577642,1471933,1204675
West Bengal,36 - Bankura,775893,645606,727919,590713,1503812,1236319
West Bengal,37 - Bishnupur,759317,667837,707604,604233,1466921,1272070
West Bengal,38 - Bardhaman Purba,795545,683049,736699,637873,1532244,1320922
West Bengal,39 - Burdwan - durgapur,821377,700899,762121,630343,1583498,1331242
West Bengal,40 - Asansol,791896,633230,677788,509165,1469684,1142395
West Bengal,41 - Bolpur,798384,681996,740045,622760,1538429,1304756
West Bengal,42 - Birbhum,773457,670443,721651,605376,1495108,1275819
