terminal,BT-01,BT-03,BT-04,BT-05,CBD-13,CBD-03,CBD-07,SLU-16,CBD-06,CH-01,CH-02,CH-03,CH-05,CH-06,CH-07,CH-08,CH-09,CH-12,CH-15,DPD-01,DPD-03,EL-01,EL-03,EL-05,FH-01,FH-04,ID-04,PS-05,PS-04,SLU-01,SLU-02,SLU-04,SLU-07,SLU-15,SLU-17,SLU-18,SLU-19,UD-01,UD-02,UD-04,UD-07,UW-01,UW-02,UW-04,UW-06,UW-07,UW-10,WF-01,WF-04,CBD-05,CD-01,SLU-20,CBD-04,SLU-21,Pronto shop
PS-04,2629.0,2206.0,2408.0,1761.0,1287.0,1542.0,497.0,2015.0,733.0,2928.0,4213.0,3412.0,4041.0,3497.0,3515.0,3253.0,2634.0,2460.0,4120.0,3216.0,12862.0,4000.0,4541.0,6567.0,1687.0,2471.0,762.0,429.0,0.0,3031.0,3690.0,3318.0,2756.0,1906.0,3802.0,2634.0,3257.0,12451.0,10383.0,9835.0,8257.0,11437.0,10829.0,10221.0,10775.0,11049.0,10306.0,2420.0,1105.0,508.0,1353.0,2409.0,1388.0,3390.0,2513.0
SLU-01,2186.0,2088.0,1771.0,1645.0,1987.0,1561.0,2500.0,1339.0,2312.0,645.0,1321.0,1172.0,1892.0,1992.0,2010.0,1555.0,1264.0,909.0,1868.0,1187.0,9699.0,1231.0,1938.0,3964.0,1899.0,2309.0,3310.0,3371.0,3031.0,0.0,1758.0,951.0,1141.0,900.0,1514.0,1352.0,2613.0,10247.0,4970.0,4572.0,5262.0,5974.0,5348.0,4834.0,5548.0,8846.0,8102.0,2788.0,2254.0,2205.0,3543.0,502.0,1560.0,1210.0,1305.0
SLU-02,1689.0,1659.0,1389.0,1824.0,2646.0,2359.0,3218.0,2332.0,2971.0,3245.0,2984.0,3024.0,4404.0,3860.0,3878.0,3423.0,3132.0,2777.0,4483.0,580.0,10472.0,1113.0,2114.0,4140.0,3142.0,4177.0,4028.0,4030.0,3690.0,1758.0,0.0,817.0,1294.0,1822.0,654.0,1172.0,1553.0,8534.0,6466.0,5918.0,7138.0,7520.0,6912.0,6304.0,6858.0,7132.0,6388.0,3350.0,4379.0,3125.0,4856.0,2210.0,2482.0,741.0,1196.0
SLU-04,1498.0,1468.0,1065.0,1453.0,2275.0,1987.0,2846.0,1627.0,2600.0,1501.0,2177.0,2028.0,2749.0,3155.0,3173.0,2717.0,2427.0,2071.0,2725.0,238.0,11806.0,863.0,1825.0,3851.0,2572.0,3472.0,3656.0,3658.0,3318.0,951.0,817.0,0.0,711.0,1449.0,562.0,886.0,1669.0,9366.0,7298.0,6751.0,7971.0,8353.0,7744.0,7136.0,7691.0,7965.0,7221.0,2285.0,2801.0,2752.0,4170.0,1154.0,2109.0,258.0,824.0
SLU-07,939.0,908.0,503.0,890.0,1713.0,1425.0,2284.0,1064.0,2037.0,1977.0,2288.0,2139.0,3137.0,2593.0,2611.0,2155.0,1864.0,1509.0,3216.0,715.0,12283.0,1498.0,2498.0,4524.0,2010.0,2910.0,3094.0,3096.0,2756.0,1141.0,1294.0,711.0,0.0,550.0,1194.0,597.0,1720.0,9843.0,7775.0,7228.0,8448.0,8830.0,8221.0,7613.0,8168.0,8442.0,7698.0,2050.0,2130.0,2080.0,3418.0,772.0,1357.0,783.0,549.0
SLU-15,1467.0,1189.0,1102.0,908.0,862.0,574.0,1434.0,548.0,1187.0,1461.0,2138.0,1944.0,2620.0,2076.0,2094.0,1638.0,1348.0,992.0,2699.0,1453.0,12294.0,2236.0,2775.0,4801.0,1490.0,2393.0,2244.0,2246.0,1906.0,900.0,1822.0,1449.0,550.0,0.0,1896.0,729.0,2285.0,10545.0,8477.0,7930.0,9150.0,9532.0,8923.0,8315.0,8869.0,9144.0,8400.0,1892.0,1358.0,1309.0,3303.0,844.0,603.0,1485.0,608.0
SLU-17,1981.0,2341.0,1549.0,1936.0,2758.0,2471.0,3330.0,2110.0,3083.0,2065.0,2741.0,2528.0,3313.0,3639.0,3657.0,3201.0,2910.0,2555.0,3289.0,480.0,11612.0,339.0,1350.0,3376.0,3056.0,3955.0,4140.0,4142.0,3802.0,1514.0,654.0,562.0,1194.0,1896.0,0.0,1369.0,1846.0,9168.0,7100.0,6552.0,7772.0,8154.0,7546.0,6938.0,7492.0,7766.0,7022.0,3643.0,3285.0,3236.0,4653.0,1394.0,2593.0,453.0,1307.0
SLU-18,723.0,769.0,452.0,768.0,1591.0,1303.0,2162.0,1066.0,1915.0,1979.0,2290.0,2141.0,3139.0,2595.0,2613.0,2157.0,1866.0,1511.0,3218.0,889.0,11644.0,1673.0,2673.0,4699.0,2012.0,2911.0,2972.0,2974.0,2634.0,1352.0,1172.0,886.0,597.0,729.0,1369.0,0.0,2026.0,10003.0,7935.0,7388.0,8608.0,8990.0,8381.0,7773.0,8327.0,8602.0,7858.0,1641.0,2158.0,2109.0,3724.0,1154.0,1426.0,943.0,180.0
SLU-19,911.0,1239.0,1888.0,1753.0,1983.0,2797.0,3264.0,2770.0,2538.0,3683.0,4360.0,4167.0,4843.0,4299.0,4317.0,3861.0,3570.0,3215.0,4922.0,1446.0,12025.0,2150.0,3150.0,5176.0,3717.0,4615.0,3930.0,3597.0,3257.0,2613.0,1553.0,1669.0,1720.0,2285.0,1846.0,2026.0,0.0,10535.0,8468.0,7920.0,9140.0,9522.0,8914.0,8306.0,8860.0,9134.0,8390.0,1787.0,2816.0,2760.0,4221.0,2472.0,2385.0,1625.0,1459.0
UD-01,10630.0,10990.0,10197.0,10585.0,11407.0,11120.0,11979.0,10759.0,11732.0,7790.0,7212.0,7257.0,6611.0,7163.0,7291.0,8052.0,8025.0,8246.0,7195.0,9129.0,1626.0,9460.0,6088.0,3990.0,9236.0,8180.0,10098.0,12791.0,12451.0,10247.0,8534.0,9366.0,9843.0,10545.0,9168.0,10003.0,10535.0,0.0,3139.0,3019.0,2052.0,1555.0,1871.0,2789.0,2623.0,1845.0,2943.0,15955.0,16983.0,12062.0,9659.0,8603.0,11419.0,10091.0,10133.0
UD-02,8562.0,8922.0,8130.0,8517.0,9339.0,9052.0,9911.0,5961.0,9664.0,5278.0,4804.0,4745.0,5353.0,5406.0,6033.0,5643.0,5617.0,5735.0,4787.0,7061.0,4674.0,7392.0,3577.0,1478.0,6725.0,6453.0,8361.0,10723.0,10383.0,4970.0,6466.0,7298.0,7775.0,8477.0,7100.0,7935.0,8468.0,3139.0,0.0,396.0,689.0,1027.0,394.0,399.0,1114.0,1738.0,1050.0,13887.0,7703.0,7654.0,7270.0,5951.0,7009.0,5311.0,6185.0
UD-04,8015.0,8374.0,7582.0,7970.0,8792.0,6038.0,9363.0,5564.0,9117.0,4881.0,4407.0,4348.0,4956.0,5009.0,5636.0,5246.0,5220.0,5337.0,4390.0,6513.0,4554.0,6844.0,3180.0,1081.0,6327.0,6055.0,7963.0,10175.0,9835.0,4572.0,5918.0,6751.0,7228.0,7930.0,6552.0,7388.0,7920.0,3019.0,396.0,0.0,767.0,1488.0,775.0,347.0,1062.0,1685.0,896.0,13268.0,7305.0,7256.0,6872.0,5553.0,6611.0,4914.0,5787.0
