,elevation,lat,lng,resolution
0,37.35177993774414,47.618418,-122.350964,76.35161590576172
1,33.81583023071289,47.615829,-122.348564,76.35161590576172
2,34.27405548095703,47.616094,-122.341102,76.35161590576172
3,44.28325653076172,47.61311,-122.344208,76.35161590576172
4,42.46038055419922,47.61018499999999,-122.339641,76.35161590576172
5,48.49359130859375,47.610731,-122.332447,76.35161590576172
6,31.5328369140625,47.603509,-122.330409,76.35161590576172
7,48.75276565551758,47.613715,-122.331777,76.35161590576172
8,25.30527496337891,47.60595,-122.335768,76.35161590576172
9,82.26290893554688,47.618633,-122.325249,76.35161590576172
10,103.6387939453125,47.622063,-122.321251,9.543951988220215
11,84.54039764404297,47.623367,-122.325279,76.35161590576172
12,128.2993927001953,47.620712,-122.312805,9.543951988220215
13,106.8748474121094,47.618549,-122.317017,9.543951988220215
14,124.5011596679688,47.61533,-122.311752,9.543951988220215
15,95.25556945800781,47.615486,-122.318245,9.543951988220215
16,92.5244140625,47.615517,-122.322083,76.35161590576172
17,71.52140808105469,47.615456,-122.326729,76.35161590576172
18,118.0638275146484,47.624142,-122.316811,9.543951988220215
19,12.53535461425781,47.624298,-122.339617,76.35161590576172
20,21.35327911376953,47.663509,-122.284119,9.543951988220215
21,9.015256881713867,47.627643,-122.332576,76.35161590576172
22,8.61825942993164,47.634831,-122.326634,76.35161590576172
23,20.21500015258789,47.64909,-122.322983,76.35161590576172
24,97.59514617919922,47.607281,-122.324783,76.35161590576172
25,85.60221862792969,47.609239,-122.316651,9.543951988220215
26,16.40220642089844,47.598488,-122.326412,76.35161590576172
27,11.62311458587646,47.598994,-122.329684,76.35161590576172
28,8.13675308227539,47.600757,-122.332946,76.35161590576172
29,38.61130142211914,47.61985900000001,-122.330304,76.35161590576172
30,18.42899894714355,47.62773499999999,-122.342232,76.35161590576172
31,12.37913417816162,47.623165,-122.338203,76.35161590576172
32,20.63965034484863,47.61832,-122.338913,76.35161590576172
33,31.59357833862305,47.61362800000001,-122.337341,76.35161590576172
34,8.471962928771973,47.626041,-122.335831,76.35161590576172
35,33.91841125488281,47.618285,-122.342205,76.35161590576172
36,37.83512878417969,47.622277,-122.35523,76.35161590576172
37,14.91017913818359,47.666145,-122.301491,9.543951988220215
38,47.00341796875,47.658288,-122.313334,9.543951988220215
39,29.84357070922852,47.656395,-122.31562,9.543951988220215
40,65.4153823852539,47.663143,-122.315086,9.543951988220215
41,56.67412948608398,47.660268,-122.304826,9.543951988220215
42,64.56250762939453,47.659756,-122.310402,9.543951988220215
43,34.5457763671875,47.65559,-122.31189,9.543951988220215
44,39.48574447631836,47.654613,-122.304863,9.543951988220215
45,15.95484924316406,47.653713,-122.302162,9.543951988220215
46,13.96366310119629,47.650725,-122.311188,9.543951988220215
47,3.29574179649353,47.614315,-122.354093,76.35161590576172
48,5.188225269317627,47.607702,-122.34165,76.35161590576172
49,9.812872886657715,47.604058,-122.3358,76.35161590576172
50,65.043212890625,47.602103,-122.316923,9.543951988220215
51,39.91810989379883,47.61626,-122.333815,76.35161590576172
52,41.29186248779297,47.60922100000001,-122.335596,76.35161590576172
53,11.35539150238037,47.624769,-122.339408,76.35161590576172
54,32.45370101928711,47.6173156,-122.3414776,76.35161590576172
